File;Time;Language;Order;Trial;Part;Words;Metaphor;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Grammar;General comments
bi10_2s_PC.eaf;00:00:20.880;;;1;1;mörk;Brightness;1;none;wide grip;2;;den första var;;participant consistently reverses the vertical mapping of brightness
bi10_2s_PC.eaf;00:01:34.000;;;2;;;;;;;;;;;
bi10_2s_PC.eaf;00:02:01.400;;;2;1;;Brightness;;;;;;den ena var lite ljusare;;
bi10_2s_PC.eaf;00:02:02.220;;;2;1;ljusare;Brightness;1;vert;flat H;1;;den ena var lite ljusare;;
bi10_2s_PC.eaf;00:02:02.960;;;2;2;;Brightness;;;;;;den andra var mörkare;;
bi10_2s_PC.eaf;00:02:02.970;;;2;2;mörkare;Brightness;1;vert;flat H;1;see prior;den andra var mörkare;;
bi10_2s_PC.eaf;00:02:45.260;;;3;;;;;;;;;;;
bi10_2s_PC.eaf;00:02:45.600;;;3;1;;Brightness;;;;;;den första var lite mer ljusare;;
bi10_2s_PC.eaf;00:02:46.880;;;3;1;ljusare;Brightness;1;vert;other;1;;den första var lite mer ljusare;;
bi10_2s_PC.eaf;00:02:48.960;;;3;2;;Brightness;;;;;;den andra var lite mörkare;;
bi10_2s_PC.eaf;00:02:49.700;;;3;2;mörkare;Brightness;1;none;open;1;;den andra var lite mörkare;;
bi10_2s_PC.eaf;00:03:16.900;;;4;;;;;;;;;;;
bi10_2s_PC.eaf;00:03:26.180;;;4;1;;Brightness;;;;;;den första var ljus;;
bi10_2s_PC.eaf;00:03:27.100;;;4;1;ljus;Brightness;1;none;narrow grip;2;;den första var ljus;;
bi10_2s_PC.eaf;00:03:44.100;;;4;2;;Brightness;;;;;;den andra mörk;;
bi10_2s_PC.eaf;00:03:44.260;;;4;2;mörk;Brightness;1;vert;narrow grip;1;;den andra mörk;;
bi10_2s_PC.eaf;00:04:03.700;;;5;;;;;;;;;;;
bi10_2s_PC.eaf;00:04:11.200;;;5;1;;Brightness;;;;;;den första var mörk;;
bi10_2s_PC.eaf;00:04:12.940;;;5;1;mörk;Brightness;0;;;;;den första var mörk;;
bi10_2s_PC.eaf;00:04:24.120;;;5;2;;Brightness;;;;;;medans andra var väldigt ljus;;
bi10_2s_PC.eaf;00:04:25.660;;;5;2;ljus;Brightness;0;;;;;medans andra var väldigt ljus;;
bi10_2s_PC.eaf;00:04:50.000;;;6;;;;;;;;;;;
bi10_2s_PC.eaf;00:05:08.660;;;6;1;;Brightness;;;;;;den första där var det lite mer mörkare;;
